Case;"Player [1=Gössa; 2= player1; 3= player2; 4 = player3]";"Tune [1=Pellar; 2=Lorik; 3=JamtOlle; 4=Blecko; 5= Storpolska]";Volta;Section;SectionVolta;PerformanceMeasure;SectionMeasure;BarSTRING;Measure duration s;M dev;B1 ms;B2 ms;B3 ms;BP1;BP2;BP3;NDB1;NDB2;NDB3;"Rhythm Category [9999=E; 0=decreasing_or_stable; 2=repeated_ending]";"SB1 [1=unequal; 0= equal_or_NA]";"SB2 [1=unequal; 0= equal_or_NA]";"CND [1=decreasing; 2= stable; 3=increasing]";Tempo;M dev
1;1;3;1;1;1;1;1;A1;1.50;0.11;472;584;444;0.31;0.39;0.30;1;4;2;1400;0;0;3;134;111.1189352
2;1;3;1;1;1;2;2;A2;1.41;0.05;333;633;445;0.24;0.45;0.32;1;2;2;1200;0;0;3;134;104.5066328
3;1;3;1;1;1;3;3;A3;1.30;-0.04;353;470;477;0.27;0.36;0.37;4;4;2;2410;1;0;2;134;96.28157371
4;1;3;1;1;1;4;4;A4;1.31;-0.03;457;512;339;0.35;0.39;0.26;2;1;1;9999;0;0;1;134;96.9266763
5;1;3;1;1;2;5;1;A1;1.36;0.01;435;470;451;0.32;0.35;0.33;1;4;2;1400;0;0;3;134;100.5284996
6;1;3;1;1;2;6;2;A2;1.36;0.01;345;562;457;0.25;0.41;0.34;1;2;2;1200;0;0;3;134;101.0660852
7;1;3;1;1;2;7;3;A3;1.23;-0.09;313;477;444;0.25;0.39;0.36;2;4;2;2410;1;0;3;134;91.44330363
8;1;3;1;1;2;8;4;A4;1.38;0.02;438;444;495;0.32;0.32;0.36;2;1;1;9999;0;0;1;134;101.9732608
9;1;3;1;2;1;9;1;B1;1.31;-0.03;400;522;385;0.31;0.40;0.29;1;2;2;1201;0;1;3;134;96.87963761
10;1;3;1;2;1;10;2;B2;1.28;-0.05;366;496;418;0.29;0.39;0.33;3;2;1;0;0;1;1;134;94.83009268
11;1;3;1;2;1;11;3;B3;1.32;-0.02;444;438;438;0.34;0.33;0.33;2;2;2;2200;0;0;2;134;97.73305466
12;1;3;1;2;1;12;4;B4;1.30;-0.04;294;536;470;0.23;0.41;0.36;3;4;1;3400;0;0;3;134;96.28157371
13;1;3;1;2;1;13;5;B5;1.40;0.04;353;516;529;0.25;0.37;0.38;1;4;4;1400;0;0;3;134;103.5389787
14;1;3;1;2;1;14;6;B6;1.32;-0.02;503;449;367;0.38;0.34;0.28;4;1;1;0;0;0;1;134;97.73305474
15;1;3;1;2;1;15;7;B7;1.36;0.01;464;392;503;0.34;0.29;0.37;2;1;2;0;1;0;1;134;100.6511363
16;1;3;1;2;1;16;8;B8;1.39;0.03;485;435;470;0.35;0.31;0.34;3;1;1;9999;0;0;1;134;103.0400322
17;1;3;1;2;2;17;1;B1;1.34;-0.01;366;529;444;0.27;0.40;0.33;1;2;2;1201;0;1;3;134;99.18453569
18;1;3;1;2;2;18;2;B2;1.29;-0.04;351;511;431;0.27;0.40;0.33;3;2;1;0;0;1;1;134;95.79774672
19;1;3;1;2;2;19;3;B3;1.31;-0.03;392;411;503;0.30;0.32;0.39;2;2;2;2200;0;0;2;134;96.76540069
20;1;3;1;2;2;20;4;B4;1.29;-0.05;307;536;444;0.24;0.42;0.35;3;4;1;3400;0;0;3;134;95.31391966
21;1;3;1;2;2;21;5;B5;1.31;-0.03;327;529;457;0.25;0.40;0.35;1;4;2;1400;0;0;3;134;97.23074818
22;1;3;1;2;2;22;6;B6;1.35;0.00;484;444;422;0.36;0.33;0.31;4;1;1;0;0;0;1;134;99.96235478
23;1;3;1;2;2;23;7;B7;1.42;0.05;447;424;549;0.31;0.30;0.39;2;1;2;0;1;0;1;134;105.1987742
24;1;3;1;2;2;24;8;B8;1.46;0.08;436;496;531;0.30;0.34;0.36;3;1;1;9999;0;0;1;134;108.3772488
25;1;3;2;1;1;25;1;A1;1.42;0.05;411;579;430;0.29;0.41;0.30;1;4;2;1400;0;0;3;134;105.1954142
26;1;3;2;1;1;26;2;A2;1.41;0.04;350;549;510;0.25;0.39;0.36;1;2;2;1200;0;0;3;134;104.3386372
27;1;3;2;1;1;27;3;A3;1.28;-0.05;378;438;469;0.29;0.34;0.36;4;4;2;2410;1;0;2;134;95.1677636
28;1;3;2;1;1;28;4;A4;1.42;0.05;439;480;499;0.31;0.34;0.35;2;1;1;9999;0;0;1;134;105.0996568
29;1;3;2;1;2;29;1;A1;1.32;-0.02;327;516;477;0.25;0.39;0.36;1;4;2;1400;0;0;3;134;97.73305474
30;1;3;2;1;2;30;2;A2;1.34;-0.01;313;575;451;0.23;0.43;0.34;1;2;2;1200;0;0;3;134;99.18453569
31;1;3;2;1;2;31;3;A3;1.33;-0.02;320;509;496;0.24;0.38;0.37;2;4;2;2410;1;0;3;134;98.21688172
32;1;3;2;1;2;32;4;A4;1.47;0.09;464;504;501;0.32;0.34;0.34;2;1;1;9999;0;0;1;134;108.8610758
33;1;3;2;2;1;33;1;B1;1.28;-0.05;294;555;431;0.23;0.43;0.34;1;2;2;1201;0;1;3;134;94.83009268
34;1;3;2;2;1;34;2;B2;1.27;-0.06;400;456;418;0.31;0.36;0.33;3;2;1;0;0;1;1;134;94.34626562
35;1;3;2;2;1;35;3;B3;1.33;-0.02;430;412;483;0.32;0.31;0.36;2;2;2;2200;0;0;2;134;98.21688172
36;1;3;2;2;1;36;4;B4;1.36;0.01;327;581;451;0.24;0.43;0.33;3;4;1;3400;0;0;3;134;100.6360167
37;1;3;2;2;1;37;5;B5;1.31;-0.03;402;473;438;0.31;0.36;0.33;1;4;2;1400;0;0;3;134;97.24922768
38;1;3;2;2;1;38;6;B6;1.40;0.04;529;456;413;0.38;0.33;0.30;4;1;1;0;0;0;1;134;103.5389788
